id,price,property_type,subproperty_type,region,province,locality,zip_code,latitude,longitude,construction_year,total_area_sqm,surface_land_sqm,nbr_frontages,nbr_bedrooms,equipped_kitchen,fl_furnished,fl_open_fire,fl_terrace,terrace_sqm,fl_garden,garden_sqm,fl_swimming_pool,fl_floodzone,state_building,primary_energy_consumption_sqm,epc,heating_type,fl_double_glazing,cadastral_income
61015000,130000,APARTMENT,APARTMENT,Flanders,West Flanders,Kortrijk,8530,50.847096,3.308057,,50,,,1,MISSING,0,0,0,0,0,0,0,1,MISSING,392,D,MISSING,0,669
17206000,334636,APARTMENT,APARTMENT,Flanders,Flemish Brabant,Halle-Vilvoorde,1800,50.9167432,4.4188542,,123,,,3,MISSING,0,0,1,12,0,0,0,1,MISSING,,A,MISSING,1,
52285000,320000,HOUSE,MIXED_USE_BUILDING,Wallonia,Namur,Dinant,5550,,,,,1692,2,16,MISSING,0,0,0,0,0,0,0,1,MISSING,,MISSING,FUELOIL,1,2280
15805000,1495000,HOUSE,HOUSE,Flanders,West Flanders,Oostend,8432,,,,689,6273,4,7,MISSING,0,0,0,0,0,0,0,0,AS_NEW,,MISSING,MISSING,1,
27938000,119000,HOUSE,HOUSE,Wallonia,Hainaut,Mouscron,7700,,,,145,0,2,3,MISSING,0,1,0,0,0,0,0,1,TO_RENOVATE,546,G,CARBON,1,478
60094000,185000,HOUSE,HOUSE,Flanders,East Flanders,Aalst,9450,50.90391,4.0258413,,150,100,,3,NOT_INSTALLED,0,0,0,0,0,0,0,0,MISSING,1239,F,GAS,0,297
72078000,413898,HOUSE,HOUSE,Flanders,East Flanders,Sint-Niklaas,9190,51.2037782,4.0409149,,,187,,3,MISSING,0,0,0,0,0,0,0,0,GOOD,0,MISSING,MISSING,0,
39972000,649000,HOUSE,HOUSE,Flanders,West Flanders,Kortrijk,8540,50.8451799,3.3828341,2012,425,781,4,3,INSTALLED,0,0,1,,0,0,0,1,GOOD,1418,F,FUELOIL,0,1826
35806000,520000,HOUSE,HOUSE,Flanders,Flemish Brabant,Halle-Vilvoorde,1880,51.0033959,4.3604184,1978,207,429,4,3,MISSING,0,0,0,0,0,0,0,0,MISSING,105,B,FUELOIL,1,1457
74825000,110000,HOUSE,HOUSE,Flanders,East Flanders,Aalst,9470,50.8767723,4.0776838,1918,80,70,3,2,NOT_INSTALLED,0,0,0,0,0,0,0,1,TO_RENOVATE,909,F,GAS,0,193
53505000,1800000,HOUSE,HOUSE,Flanders,Flemish Brabant,Halle-Vilvoorde,1850,50.9208873,4.3435132,1953,392,13890,4,5,INSTALLED,0,1,1,40,1,12440,0,0,TO_BE_DONE_UP,1098,F,ELECTRIC,1,
5352000,290000,APARTMENT,APARTMENT,Brussels-Capital,Brussels,Brussels,1080,,,,141,,2,3,INSTALLED,0,0,0,0,0,0,0,1,JUST_RENOVATED,161,D,GAS,1,1948
3190000,595000,HOUSE,VILLA,Wallonia,Walloon Brabant,Nivelles,1420,50.6747916,4.3727052,1965,314,788,4,5,NOT_INSTALLED,0,1,1,,0,0,0,1,GOOD,406,E,GAS,0,2759
46728000,345000,HOUSE,HOUSE,Flanders,West Flanders,Veurne,8620,51.1284296,2.7480379,,162,175,2,3,MISSING,0,0,0,0,0,0,0,1,MISSING,,MISSING,MISSING,0,
2240000,449000,HOUSE,HOUSE,Flanders,Antwerp,Turnhout,2323,51.3994066,4.8024989,,,330,3,3,MISSING,0,0,1,,0,0,0,1,MISSING,,MISSING,MISSING,0,
35529000,999000,HOUSE,APARTMENT_BLOCK,Wallonia,Liège,Verviers,4960,50.4292985,6.0271313,,500,619,4,10,INSTALLED,0,0,1,20,0,0,0,0,GOOD,218,C,FUELOIL,1,
35082000,225000,HOUSE,HOUSE,Flanders,West Flanders,Kortrijk,8573,50.8020174,3.4615537,1930,120,352,4,3,MISSING,0,0,0,0,0,0,0,1,TO_BE_DONE_UP,,F,ELECTRIC,1,237
27881000,265000,APARTMENT,FLAT_STUDIO,Flanders,Flemish Brabant,Leuven,3000,50.8793117,4.6898405,,23,,,1,MISSING,0,0,0,0,0,0,0,1,MISSING,,MISSING,ELECTRIC,1,
24826000,115000,HOUSE,HOUSE,Flanders,East Flanders,Oudenaarde,9600,50.7525526,3.5932663,1918,,90,,3,MISSING,0,0,0,0,0,0,0,0,TO_RENOVATE,639,F,MISSING,0,
64936000,149000,APARTMENT,APARTMENT,Wallonia,Namur,Namur,5000,50.4623741,4.8381307,1974,54,,2,1,NOT_INSTALLED,0,0,1,8,0,0,0,0,GOOD,161,B,GAS,1,
25377000,135000,APARTMENT,FLAT_STUDIO,Flanders,East Flanders,Gent,9050,51.0197198,3.7638074,1991,42,,3,1,HYPER_EQUIPPED,0,0,0,0,0,0,0,0,GOOD,389,D,ELECTRIC,1,478
43524000,1590000,APARTMENT,APARTMENT,Brussels-Capital,Brussels,Brussels,1050,,,1949,247,,2,3,USA_HYPER_EQUIPPED,0,0,1,50,0,0,0,0,JUST_RENOVATED,140,C,MISSING,1,
16912000,100000,HOUSE,HOUSE,Flanders,East Flanders,Sint-Niklaas,9190,51.2010094,4.0637732,,,2358,4,5,MISSING,0,0,0,0,0,0,0,0,TO_RENOVATE,1420,F,MISSING,0,1576
76811000,175000,HOUSE,HOUSE,Wallonia,Liège,Liège,4000,50.6521974,5.5966209,,190,130,2,5,INSTALLED,0,0,1,16,1,40,0,0,TO_RENOVATE,196,C,GAS,0,
9172000,267000,HOUSE,HOUSE,Flanders,Antwerp,Mechelen,2560,51.1697854,4.6814507,,83,635,3,2,MISSING,0,0,1,,0,0,0,1,GOOD,610,F,MISSING,0,
47762000,222000,APARTMENT,APARTMENT,Flanders,Antwerp,Antwerp,2610,51.183045,4.3748514,1952,78,,,2,INSTALLED,0,1,1,4,0,0,0,0,MISSING,142,B,MISSING,1,
4087000,483427,HOUSE,HOUSE,Wallonia,Hainaut,Tournai,7503,,,,164,380,,3,HYPER_EQUIPPED,0,0,0,0,0,0,0,1,GOOD,,MISSING,GAS,1,
67650000,250000,APARTMENT,APARTMENT,Flanders,Flemish Brabant,Leuven,3270,50.9786519,4.9829495,,98,,,2,MISSING,0,0,1,10,0,0,0,0,GOOD,,MISSING,MISSING,0,
25867000,375000,HOUSE,HOUSE,Flanders,Antwerp,Antwerp,2018,51.202258,4.4009655,,160,58,2,4,MISSING,0,0,0,0,0,0,0,0,MISSING,377,D,GAS,1,1
78003000,290000,HOUSE,HOUSE,Flanders,West Flanders,Oostend,8430,51.1659456,2.7778348,1965,137,497,3,5,MISSING,0,0,0,0,1,325,0,0,TO_RENOVATE,528,F,GAS,1,1060
41079000,285000,HOUSE,HOUSE,Flanders,Limburg,Hasselt,3980,51.0791885,5.090443,2024,195,0,3,3,MISSING,0,0,0,0,0,0,0,0,AS_NEW,,MISSING,MISSING,0,
67090000,139900,APARTMENT,APARTMENT,Flanders,Antwerp,Antwerp,2170,51.2513437,4.4337083,,,,,1,INSTALLED,0,1,0,0,0,0,0,1,MISSING,122,B,MISSING,0,
